filename,width,height,class,xmin,ymin,xmax,ymax
Waldo01.jpg,200,200,waldo,61,40,95,113
Waldo02.jpg,200,200,waldo,76,36,100,74
Waldo03.jpg,200,200,waldo,94,36,109,74
Waldo04.jpg,200,200,waldo,88,65,109,101
Waldo05.jpg,200,200,waldo,84,36,103,76
Waldo06.jpg,200,200,waldo,74,62,101,103
Waldo07.jpg,200,200,waldo,107,46,140,94
Waldo08.jpg,200,200,waldo,87,43,115,93
Waldo09.jpg,200,200,waldo,76,38,108,102
Waldo10.jpg,200,200,waldo,75,39,105,91
Waldo11.jpg,201,201,waldo,78,36,125,117
Waldo12.jpg,200,200,waldo,92,36,136,112
Waldo13.jpg,200,200,waldo,77,25,116,95
Waldo14.jpg,200,200,waldo,85,36,116,85
Waldo15.jpg,200,200,waldo,88,22,121,80
Waldo16.jpg,200,200,waldo,53,21,91,80
Waldo17.jpg,200,200,waldo,75,37,116,106
Waldo18.jpg,200,200,waldo,64,25,104,97
Waldo19.jpg,200,200,waldo,68,26,112,91
Waldo20.jpg,200,200,waldo,48,19,88,78
Waldo21.jpg,200,200,waldo,63,33,91,76
Waldo22.jpg,200,200,waldo,81,52,118,115
Waldo23.jpg,200,200,waldo,82,33,114,86
Waldo24.jpg,200,200,waldo,62,27,103,86
Waldo25.jpg,200,200,waldo,78,22,106,64
Waldo26.jpg,200,200,waldo,60,16,111,54
Waldo27.jpg,200,200,waldo,76,17,117,84
Waldo28.jpg,200,200,waldo,60,11,98,70
Waldo29.jpg,200,200,waldo,66,21,89,68
Waldo30.jpg,200,200,waldo,71,37,98,93
Waldo31.jpg,200,200,waldo,58,24,97,93
Waldo32.jpg,200,200,waldo,78,27,109,84
Waldo33.jpg,200,200,waldo,82,23,117,94
Waldo34.jpg,200,200,waldo,79,18,125,100
Waldo35.jpg,200,200,waldo,59,19,99,83
Waldo36.jpg,200,200,waldo,69,47,103,111
Waldo37.jpg,200,200,waldo,86,56,119,120
Waldo38.jpg,200,200,waldo,64,35,95,87
Waldo39.jpg,200,200,waldo,85,58,109,102
Waldo40.jpg,198,198,waldo,88,45,114,92
Waldo41.jpg,200,200,waldo,87,35,118,89
Waldo42.jpg,198,198,waldo,71,35,106,102
